Subject,Country,Year,Unit,Power,Value
Total primary energy supply per unit of GDP,Australia,2015,Tonnes of oil equivalent (toe),Units,0.115000
Electricity generation,Australia,2011,Terawatt hours,Units,253768.000000
Electricity generation,Australia,2012,Terawatt hours,Units,250874.000000
Electricity generation,Australia,2013,Terawatt hours,Units,249270.000000
Electricity generation,Australia,2014,Terawatt hours,Units,247416.000000
Electricity generation,Australia,2015,Terawatt hours,Units,251331.000000
Nuclear electricity generation; Terawatt hours,Australia,2014,Terawatt hours,Units,0.000000
Nuclear electricity generation; As a percentage of total electricity generation,Australia,2014,Percentage,Units,0.000000
Nuclear power plants connected to the grid,Australia,2014,Number,Units,0.000000
Nuclear power plants under construction,Australia,2014,Number,Units,0.000000
Contribution of renewables to energy supply,Australia,2011,Percentage,Units,0.054000
Contribution of renewables to energy supply,Australia,2012,Percentage,Units,0.054500
Contribution of renewables to energy supply,Australia,2013,Percentage,Units,0.060700
Contribution of renewables to energy supply,Australia,2014,Percentage,Units,0.063400
Contribution of renewables to energy supply,Australia,2015,Percentage,Units,0.064000
Production of crude oil,Australia,2011,Tonnes,Millions,24403.396000
Production of crude oil,Australia,2012,Tonnes,Millions,22868.586000
Production of crude oil,Australia,2013,Tonnes,Millions,19958.740000
Production of crude oil,Australia,2014,Tonnes,Millions,19080.730000
Production of crude oil,Australia,2015,Tonnes,Millions,18089.272000
Crude oil import prices,Australia,2011,US Dollar,Units,115.660000
Crude oil import prices,Australia,2012,US Dollar,Units,117.780000
Crude oil import prices,Australia,2013,US Dollar,Units,114.190000
Crude oil import prices,Australia,2014,US Dollar,Units,107.050000
Inland goods transport,Australia,2011,Tonnes-kilometres,Billions,479.581000
Inland goods transport,Australia,2012,Tonnes-kilometres,Billions,517.468000
Inland goods transport,Australia,2013,Tonnes-kilometres,Billions,551.605000
Inland goods transport,Australia,2014,Tonnes-kilometres,Billions,588.412000
Inland passenger transport,Australia,2011,Passenger-kilometres,Billions,299.967240
Inland passenger transport,Australia,2012,Passenger-kilometres,Billions,302.754470
Inland passenger transport,Australia,2013,Passenger-kilometres,Billions,304.884570
Inland passenger transport,Australia,2014,Passenger-kilometres,Billions,306.664960
Road fatalities,Australia,2011,Per 1 000 000 inhabitants,Units,57.161980
Road fatalities,Australia,2012,Per 1 000 000 inhabitants,Units,57.197530
Road fatalities,Australia,2013,Per 1 000 000 inhabitants,Units,51.327803
Road fatalities,Australia,2014,Per 1 000 000 inhabitants,Units,49.083179
Employment rates for age group 15-24,Australia,2011,Percentage,Units,60.385750
Employment rates for age group 15-24,Australia,2012,Percentage,Units,59.600470
Employment rates for age group 15-24,Australia,2013,Percentage,Units,58.656640
Employment rates for age group 15-24,Australia,2014,Percentage,Units,57.703330
Employment rates for age group 15-24,Australia,2015,Percentage,Units,58.445460
Employment rates for age group 25-54,Australia,2011,Percentage,Units,79.801600
Employment rates for age group 25-54,Australia,2012,Percentage,Units,79.450960
Employment rates for age group 25-54,Australia,2013,Percentage,Units,79.144600
Employment rates for age group 25-54,Australia,2014,Percentage,Units,78.799250
Employment rates for age group 25-54,Australia,2015,Percentage,Units,79.309390
Employment rates for age group 55-64,Australia,2011,Percentage,Units,61.156540
Employment rates for age group 55-64,Australia,2012,Percentage,Units,61.428910
Employment rates for age group 55-64,Australia,2013,Percentage,Units,61.398970
Employment rates for age group 55-64,Australia,2014,Percentage,Units,61.419410
Employment rates for age group 55-64,Australia,2015,Percentage,Units,62.115020
Incidence of part-time employment,Australia,2011,Percentage,Units,24.657990
Incidence of part-time employment,Australia,2012,Percentage,Units,24.564309
Incidence of part-time employment,Australia,2013,Percentage,Units,24.884204
Incidence of part-time employment,Australia,2014,Percentage,Units,25.208481
Incidence of part-time employment,Australia,2015,Percentage,Units,25.241374
Self-employment rates: women,Australia,2012,Percentage,Units,8.438984
Self-employment rates: women,Australia,2013,Percentage,Units,8.113268
Self-employment rates: men,Australia,2012,Percentage,Units,12.393240
Self-employment rates: men,Australia,2013,Percentage,Units,12.235140
Self-employment rates: total,Australia,2012,Percentage,Units,10.586910
Self-employment rates: total,Australia,2013,Percentage,Units,10.345720
Average hours actually worked,Australia,2011,Hours,Units,1699.200000
Average hours actually worked,Australia,2012,Hours,Units,1691.900000
Average hours actually worked,Australia,2013,Hours,Units,1689.600000
Average hours actually worked,Australia,2014,Hours,Units,1682.700000
Average hours actually worked,Australia,2015,Hours,Units,1682.900000
Unemployment rates: men,Australia,2011,Percentage,Units,4.893791
Unemployment rates: men,Australia,2012,Percentage,Units,5.137320
Unemployment rates: men,Australia,2013,Percentage,Units,5.706582
Unemployment rates: men,Australia,2014,Percentage,Units,5.996284
Unemployment rates: men,Australia,2015,Percentage,Units,6.039518
Unemployment rates: women,Australia,2011,Percentage,Units,5.304792
Unemployment rates: women,Australia,2012,Percentage,Units,5.325491
Unemployment rates: women,Australia,2013,Percentage,Units,5.609225
Unemployment rates: women,Australia,2014,Percentage,Units,6.172030
Unemployment rates: women,Australia,2015,Percentage,Units,6.076174
Unemployment rates: total,Australia,2011,Percentage,Units,5.081195
Unemployment rates: total,Australia,2012,Percentage,Units,5.223376
Unemployment rates: total,Australia,2013,Percentage,Units,5.661940
Unemployment rates: total,Australia,2014,Percentage,Units,6.077244
Unemployment rates: total,Australia,2015,Percentage,Units,6.056423
Long-term unemployment,Australia,2011,Percentage,Units,18.927881
Long-term unemployment,Australia,2012,Percentage,Units,18.961144
Long-term unemployment,Australia,2013,Percentage,Units,19.129287
Long-term unemployment,Australia,2014,Percentage,Units,21.908635
Long-term unemployment,Australia,2015,Percentage,Units,23.420608
Gross domestic expenditure on R&D,Australia,2011,US Dollar,Millions,20717.982000
Gross domestic expenditure on R&D,Australia,2013,US Dollar,Millions,21598.290000
Gross domestic expenditure on R&D,Australia,2015,US Dollar,Millions,20362.328000
Triadic patent families,Australia,2011,Number,Units,320.814400
Triadic patent families,Australia,2012,Number,Units,337.040400
Triadic patent families,Australia,2013,Number,Units,310.149600
Triadic patent families,Australia,2014,Number,Units,314.616800
Triadic patent families,Australia,2015,Number,Units,319.703800
Water abstractions per capita,Australia,2011,Cubic metres,Units,609.525000
Water abstractions per capita,Australia,2012,Cubic metres,Units,716.462500
Water abstractions per capita,Australia,2013,Cubic metres,Units,869.648700
Water abstractions per capita,Australia,2014,Cubic metres,Units,824.889200
Water abstractions per capita,Australia,2015,Cubic metres,Units,765.644500
Total abstractions,Australia,2011,Cubic metres,Millions,13702.000000
Total abstractions,Australia,2012,Cubic metres,Millions,16351.000000
Total abstractions,Australia,2013,Cubic metres,Millions,20133.000000
Total abstractions,Australia,2014,Cubic metres,Millions,19364.000000
Total abstractions,Australia,2015,Cubic metres,Millions,18222.000000
Generation intensities of municipal waste,Australia,2011,Kilograms,Units,598.872000
Generation intensities of municipal waste,Australia,2012,Kilograms,Units,584.742000
Generation intensities of municipal waste,Australia,2013,Kilograms,Units,571.354000
Generation intensities of municipal waste,Australia,2014,Kilograms,Units,558.459000
Generation intensities of municipal waste,Australia,2015,Kilograms,Units,560.705000
Mean scores on the mathematics scale in PISA 2012: women,Australia,2012,Standard-error,Units,497.821350
YouthsÂ whoÂ areÂ notÂ inÂ educationÂ norÂ inÂ employment: aged between 15 and 19,Australia,2014,Percentage,Units,7.217288
YouthsÂ whoÂ areÂ notÂ inÂ educationÂ norÂ inÂ employment: aged between 20 and 24,Australia,2014,Percentage,Units,13.246034
Expenditure per student in primary education,Australia,2012,US Dollar,Units,7704.617000
Expenditure per student in lower secondary education,Australia,2012,US Dollar,Units,10573.881000
Expenditure per student in upper secondary education,Australia,2012,US Dollar,Units,9581.361300
Expenditure per student in all secondary education,Australia,2012,US Dollar,Units,10164.749000
Change in expenditure in primary; secondary and post-secondary non-tertiary education as a percentage of total expenditures,Australia,2012,Index,Units,130.209760
Change in the number of students in primariy; secondary and post-secondary non-tertiary education as a percentage of total expenditures,Australia,2012,Index,Units,106.182430
Change in expenditure per student in primary; secondary and post-secondary non-tertiary education,Australia,2012,Index,Units,122.628350
Private expenditure per student in primary; secondary and post-secondary non-tertiary education as a percentage of total expenditures,Australia,2012,Percentage,Units,17.594286
Change in expenditure per student in tertiary education,Australia,2012,Index,Units,99.811640
General government net lending,Australia,2011,Percentage,Units,-4.615201
General government net lending,Australia,2012,Percentage,Units,-2.885816
General government net lending,Australia,2013,Percentage,Units,-2.844176
General government net lending,Australia,2014,Percentage,Units,-2.329856
General government net lending,Australia,2015,Percentage,Units,-2.429772
General government revenues,Australia,2011,Percentage,Units,32.581840
General government revenues,Australia,2012,Percentage,Units,33.447677
General government revenues,Australia,2013,Percentage,Units,33.758516
General government revenues,Australia,2014,Percentage,Units,34.400071
General government revenues,Australia,2015,Percentage,Units,34.994589
General government expenditures,Australia,2011,Percentage,Units,34.883605
